country,cases,death,region,moralityrate
 United States ,111820082,1219487, North America ,9169.43616455116
 India ,45035393,533570, Asia ,8440.39076409843
 France ,40138560,167642, Europe ,23943.021438541655
 Germany ,38828995,183027, Europe ,21214.89998743355
 Brazil ,38743918,711380, South America ,5446.304085017853
 South Korea ,34571873,35934, Asia ,96209.36439027105
 Japan (+Diamond Princess) ,33804284,74707, Asia ,45249.15202056032
 Italy ,26723249,196487, Europe ,13600.517591494603
 United Kingdom ,24910387,232112, Europe ,10732.054783897429
 Russia ,24124215,402756, Europe ,5989.784137294044
 Turkey ,17232066,102174, Asia ,16865.41194433026
 Spain ,13914811,121760, Europe ,11428.064224704336
 Australia ,11853144,24414, Australia/Oceania ,48550.60211354141
 Vietnam ,11625195,43206, Asia ,26906.436606026942
 Taiwan ,10241523,19005, Asia ,53888.57142857143
 Argentina ,10128845,130841, South America ,7741.338724100244
 Netherlands ,8635786,22992, Europe ,37559.95998608212
 Mexico ,7702809,334958, North America ,2299.6342825070606
 Iran ,7627186,146811, Asia ,5195.241500977447
 Indonesia ,6829221,162063, Asia ,4213.9297680531645
 Poland ,6661991,120598, Europe ,5524.1305825967265
 Colombia ,6400173,143200, South America ,4469.394553072626
 Greece ,6101379,37869, Europe ,16111.80385011487
 Austria ,6081287,22542, Europe ,26977.58406530033
 Portugal ,5643062,28126, Europe ,20063.507075303987
 Ukraine ,5557995,112418, Europe ,4944.043658488854
 Chile ,5384853,64497, South America ,8348.997627796642
 Malaysia ,5278406,37348, Asia ,14133.035236157224
 Canada ,4946090,59034, North America ,8378.375173628758
 Belgium ,4861695,34376, Europe ,14142.701303234815
 Israel ,4841772,12707, Asia ,38103.187219642714
 North Korea ,4772813,74, Asia ,6449747.297297297
 Thailand ,4770149,34586, Asia ,13792.138437518071
 Czech Republic (Czechia) ,4759041,43517, Europe ,10936.05027920123
 Peru ,4572667,222161, South America ,2058.2672026143205
 Switzerland ,4453053,14452, Europe ,30812.71104345419
 Philippines ,4140383,66864, Asia ,6192.2454534577655
 South Africa ,4076463,102595, Africa ,3973.354451971343
 Romania ,3529735,68929, Europe ,5120.827228017235
 Denmark ,3183756,8814, Europe ,36121.5793056501
 Singapore ,3006155,2024, Asia ,148525.44466403162
 Hong Kong ,2937609,14924, Asia ,19683.79120879121
 Sweden ,2754129,27407, Europe ,10048.998431057758
 New Zealand ,2621111,5697, Australia/Oceania ,46008.61857117781
 Serbia ,2615054,18057, Europe ,14482.217422606192
 Iraq ,2465545,25375, Asia ,9716.433497536946
 Hungary ,2230232,49048, Europe ,4547.039634643615
 Bangladesh ,2049377,29493, Asia ,6948.6895195470115
 Slovakia ,1877605,21224, Europe ,8846.612325669053
 Georgia ,1861665,17132, Asia ,10866.594676628532
 Jordan ,1746997,14122, Asia ,12370.747769437758
 Ireland ,1734582,9491, Europe ,18276.07206827521
 Pakistan ,1581936,30664, Asia ,5158.935559613879
 Finland ,1516117,11958, Europe ,12678.683726375648
 Norway ,1509732,6638, Europe ,22743.778246459777
 Kazakhstan ,1411831,13848, Asia ,10195.19786250722
 Lithuania ,1397806,9897, Europe ,14123.532383550571
 Slovenia ,1356546,7100, Europe ,19106.281690140844
 Bulgaria ,1339851,38748, Europe ,3457.8584701145865
 Croatia ,1309728,18687, Europe ,7008.765451918445
 Guatemala ,1291293,20289, North America ,6364.498003844448
 Morocco ,1278992,16303, Africa ,7845.1327976446055
 Lebanon ,1243838,10952, Asia ,11357.176771365961
 Costa Rica ,1238883,9428, North America ,13140.464573610521
 Bolivia ,1212131,22407, South America ,5409.608604453965
 Tunisia ,1153361,29423, Africa ,3919.9299867450636
 Cuba ,1115251,8530, North America ,13074.454865181713
 Ecuador ,1070188,36043, South America ,2969.197902505341
 United Arab Emirates ,1067030,2349, Asia ,45424.86164325245
 Panama ,1059893,8727, North America ,12144.98682250487
 Uruguay ,1041111,7664, South America ,13584.433716075157
 Mongolia ,1011496,2284, Asia ,44286.1646234676
 Nepal ,1003450,12031, Asia ,8340.536946222259
 Belarus ,994037,7118, Europe ,13965.116605788142
 Latvia ,982505,6715, Europe ,14631.496649292629
 Saudi Arabia ,841469,9646, Asia ,8723.501969728384
 Paraguay ,837602,20155, South America ,4155.802530389482
 Azerbaijan ,835234,10400, Asia ,8031.096153846154
 Bahrain ,729549,1574, Asia ,46350.0
 Cyprus ,681110,1365, Asia ,49898.168498168496
 Dominican Republic ,675890,4384, North America ,15417.19890510949
 Sri Lanka ,672754,16897, Asia ,3981.499674498432
 Kuwait ,667158,2570, Asia ,25959.455252918287
 Myanmar ,641873,19495, Asia ,3292.500641190049
 Moldova ,635145,12218, Europe ,5198.436732689474
 Estonia ,628070,3001, Europe ,20928.69043652116
 State of Palestine ,621008,5404, Asia ,11491.63582531458
 Venezuela ,552695,5856, South America ,9438.097677595628
