country,cases,death,region,moralityrate
 United States ,111820082,1219487, North America ,9169.44
 India ,45035393,533570, Asia ,8440.39
 France ,40138560,167642, Europe ,23943.02
 Germany ,38828995,183027, Europe ,21214.9
 Brazil ,38743918,711380, South America ,5446.3
 South Korea ,34571873,35934, Asia ,96209.36
 Japan (+Diamond Princess) ,33804284,74707, Asia ,45249.15
 Italy ,26723249,196487, Europe ,13600.52
 United Kingdom ,24910387,232112, Europe ,10732.05
 Russia ,24124215,402756, Europe ,5989.78
 Turkey ,17232066,102174, Asia ,16865.41
 Spain ,13914811,121760, Europe ,11428.06
 Australia ,11853144,24414, Australia/Oceania ,48550.6
 Vietnam ,11625195,43206, Asia ,26906.44
 Taiwan ,10241523,19005, Asia ,53888.57
 Argentina ,10128845,130841, South America ,7741.34
 Netherlands ,8635786,22992, Europe ,37559.96
 Mexico ,7702809,334958, North America ,2299.63
 Iran ,7627186,146811, Asia ,5195.24
 Indonesia ,6829221,162063, Asia ,4213.93
 Poland ,6661991,120598, Europe ,5524.13
 Colombia ,6400173,143200, South America ,4469.39
 Greece ,6101379,37869, Europe ,16111.8
 Austria ,6081287,22542, Europe ,26977.58
 Portugal ,5643062,28126, Europe ,20063.51
 Ukraine ,5557995,112418, Europe ,4944.04
 Chile ,5384853,64497, South America ,8349.0
 Malaysia ,5278406,37348, Asia ,14133.04
 Canada ,4946090,59034, North America ,8378.38
 Belgium ,4861695,34376, Europe ,14142.7
 Israel ,4841772,12707, Asia ,38103.19
 North Korea ,4772813,74, Asia ,6449747.3
 Thailand ,4770149,34586, Asia ,13792.14
 Czech Republic (Czechia) ,4759041,43517, Europe ,10936.05
 Peru ,4572667,222161, South America ,2058.27
 Switzerland ,4453053,14452, Europe ,30812.71
 Philippines ,4140383,66864, Asia ,6192.25
 South Africa ,4076463,102595, Africa ,3973.35
 Romania ,3529735,68929, Europe ,5120.83
 Denmark ,3183756,8814, Europe ,36121.58
 Singapore ,3006155,2024, Asia ,148525.44
 Hong Kong ,2937609,14924, Asia ,19683.79
 Sweden ,2754129,27407, Europe ,10049.0
 New Zealand ,2621111,5697, Australia/Oceania ,46008.62
 Serbia ,2615054,18057, Europe ,14482.22
 Iraq ,2465545,25375, Asia ,9716.43
 Hungary ,2230232,49048, Europe ,4547.04
 Bangladesh ,2049377,29493, Asia ,6948.69
 Slovakia ,1877605,21224, Europe ,8846.61
 Georgia ,1861665,17132, Asia ,10866.59
 Jordan ,1746997,14122, Asia ,12370.75
 Ireland ,1734582,9491, Europe ,18276.07
 Pakistan ,1581936,30664, Asia ,5158.94
 Finland ,1516117,11958, Europe ,12678.68
 Norway ,1509732,6638, Europe ,22743.78
 Kazakhstan ,1411831,13848, Asia ,10195.2
 Lithuania ,1397806,9897, Europe ,14123.53
 Slovenia ,1356546,7100, Europe ,19106.28
 Bulgaria ,1339851,38748, Europe ,3457.86
 Croatia ,1309728,18687, Europe ,7008.77
 Guatemala ,1291293,20289, North America ,6364.5
 Morocco ,1278992,16303, Africa ,7845.13
 Lebanon ,1243838,10952, Asia ,11357.18
 Costa Rica ,1238883,9428, North America ,13140.46
 Bolivia ,1212131,22407, South America ,5409.61
 Tunisia ,1153361,29423, Africa ,3919.93
 Cuba ,1115251,8530, North America ,13074.45
 Ecuador ,1070188,36043, South America ,2969.2
 United Arab Emirates ,1067030,2349, Asia ,45424.86
 Panama ,1059893,8727, North America ,12144.99
 Uruguay ,1041111,7664, South America ,13584.43
 Mongolia ,1011496,2284, Asia ,44286.16
 Nepal ,1003450,12031, Asia ,8340.54
 Belarus ,994037,7118, Europe ,13965.12
 Latvia ,982505,6715, Europe ,14631.5
 Saudi Arabia ,841469,9646, Asia ,8723.5
 Paraguay ,837602,20155, South America ,4155.8
 Azerbaijan ,835234,10400, Asia ,8031.1
 Bahrain ,729549,1574, Asia ,46350.0
 Cyprus ,681110,1365, Asia ,49898.17
 Dominican Republic ,675890,4384, North America ,15417.2
 Sri Lanka ,672754,16897, Asia ,3981.5
 Kuwait ,667158,2570, Asia ,25959.46
 Myanmar ,641873,19495, Asia ,3292.5
 Moldova ,635145,12218, Europe ,5198.44
 Estonia ,628070,3001, Europe ,20928.69
 State of Palestine ,621008,5404, Asia ,11491.64
 Venezuela ,552695,5856, South America ,9438.1
 Egypt ,516023,24613, Africa ,2096.55
 Qatar ,514524,690, Asia ,74568.7
 Libya ,507274,6437, Africa ,7880.6
 China ,503302,5272, Asia ,9546.7
 Ethiopia ,501157,7574, Africa ,6616.81
 Réunion ,494595,921, Africa ,53701.95
 Honduras ,474590,11165, North America ,4250.69
 Armenia ,451831,8777, Asia ,5147.9
 Bosnia and Herzegovina ,403615,16388, Europe ,2462.87
 Oman ,399449,4628, Asia ,8631.14
 Luxembourg ,391232,1232, Europe ,31755.84
 North Macedonia ,350567,9976, Europe ,3514.1
 Zambia ,349304,4069, Africa ,8584.52
 Kenya ,344130,5689, Africa ,6049.04
 Brunei  ,343719,225, Asia ,152764.0
 Albania ,334863,3605, Europe ,9288.85
 Botswana ,330638,2801, Africa ,11804.28
 Montenegro ,296542,2846, Europe ,10419.61
 Algeria ,272010,6881, Africa ,3953.06
 Nigeria ,267188,3155, Africa ,8468.72
 Zimbabwe ,266359,5740, Africa ,4640.4
 Uzbekistan ,253662,1637, Asia ,15495.54
 Afghanistan ,234174,7996, Asia ,2928.64
 Mozambique ,233731,2250, Africa ,10388.04
 Martinique ,230354,1102, North America ,20903.27
 Laos ,218970,758, Asia ,28887.86
 Iceland ,209906,229, Europe ,91662.01
 Kyrgyzstan ,206897,2991, Asia ,6917.32
 Guadeloupe ,203235,1021, North America ,19905.48
 El Salvador ,201855,4230, North America ,4771.99
 Trinidad and Tobago ,191496,4390, North America ,4362.1
 Maldives ,186694,316, Asia ,59080.38
 Namibia ,172389,4106, Africa ,4198.47
 Uganda ,172149,3632, Africa ,4739.79
 Ghana ,171889,1462, Africa ,11757.11
 Jamaica ,156869,3756, North America ,4176.49
 Cambodia ,139103,3056, Asia ,4551.8
 Rwanda ,133518,1468, Africa ,9095.23
 Cameroon ,125379,1974, Africa ,6351.52
 Malta ,121420,885, Europe ,13719.77
 Barbados ,110578,648, North America ,17064.51
 Angola ,107327,1937, Africa ,5540.89
 Channel Islands ,101717,228, Europe ,44612.72
 DR Congo ,99338,1468, Africa ,6766.89
 French Guiana ,98041,420, South America ,23343.1
 Malawi ,89535,2686, Africa ,3333.4
 Senegal ,89053,1971, Africa ,4518.16
 Côte d'Ivoire ,88384,835, Africa ,10584.91
 Suriname ,82588,1408, South America ,5865.62
 New Caledonia ,80064,314, Australia/Oceania ,25498.09
 French Polynesia ,79254,650, Australia/Oceania ,12192.92
 Eswatini ,75191,1427, Africa ,5269.17
 Guyana ,74137,1300, South America ,5702.85
 Belize ,71409,688, North America ,10379.22
 Fiji ,69117,885, Australia/Oceania ,7809.83
 Madagascar ,68486,1426, Africa ,4802.66
 Cabo Verde ,64477,417, Africa ,15462.11
 Sudan ,63993,5046, Africa ,1268.19
 Mauritania ,63848,997, Africa ,6404.01
 Bhutan ,62697,21, Asia ,298557.14
 Syria ,57743,3165, Asia ,1824.42
 Burundi ,54721,38, Africa ,144002.63
 Seychelles ,51220,172, Africa ,29779.07
 Gabon ,49051,307, Africa ,15977.52
 Andorra ,48015,165, Europe ,29100.0
 Papua New Guinea ,46864,670, Australia/Oceania ,6994.63
 Curaçao ,45986,295, North America ,15588.47
 Aruba ,44224,292, North America ,15145.21
 Tanzania ,43223,846, Africa ,5109.1
 Mauritius ,43025,1051, Africa ,4093.72
 Mayotte ,42027,188, Africa ,22354.79
 Togo ,39572,290, Africa ,13645.52
 Guinea ,38572,468, Africa ,8241.88
 Bahamas ,38084,844, North America ,4512.32
 Isle of Man ,38008,116, Europe ,32765.52
 Lesotho ,36138,723, Africa ,4998.34
 Haiti ,34667,860, North America ,4031.05
 Faeroe Islands ,34658,28, Europe ,123778.57
 Mali ,33164,743, Africa ,4463.53
 Cayman Islands ,31472,37, North America ,85059.46
 Saint Lucia ,30215,410, North America ,7369.51
 Benin ,28036,163, Africa ,17200.0
 Macao ,27673,123, Asia ,22498.37
 Somalia ,27334,1361, Africa ,2008.38
 Micronesia ,26547,65, Australia/Oceania ,40841.54
 San Marino ,26185,128, Europe ,20457.03
 Solomon Islands ,25954,199, Australia/Oceania ,13042.21
 Congo ,25375,386, Africa ,6573.83
 Timor-Leste ,23460,138, Asia ,17000.0
 Burkina Faso ,22114,400, Africa ,5528.5
 Liechtenstein ,21574,94, Europe ,22951.06
 Gibraltar ,20550,113, Europe ,18185.84
 Grenada ,19693,238, North America ,8274.37
 Bermuda ,18860,165, North America ,11430.3
 South Sudan ,18819,147, Africa ,12802.04
 Nicaragua ,18491,225, North America ,8218.22
 Tajikistan ,17786,125, Asia ,14228.8
 Equatorial Guinea ,17229,183, Africa ,9414.75
 Monaco ,17181,67, Europe ,25643.28
 Samoa ,17006,31, Australia/Oceania ,54858.06
 Tonga ,16950,13, Australia/Oceania ,130384.62
 Marshall Islands ,16138,17, Australia/Oceania ,94929.41
 Dominica ,16038,74, North America ,21672.97
 Djibouti ,15690,189, Africa ,8301.59
 Central African Republic ,15440,113, Africa ,13663.72
 Gambia ,12626,372, Africa ,3394.09
 Saint Martin ,12324,63, North America ,19561.9
 Vanuatu ,12019,14, Australia/Oceania ,85850.0
 Greenland ,11971,21, North America ,57004.76
 Yemen ,11945,2159, Asia ,553.27
 Caribbean Netherlands ,11682,38, North America ,30742.11
 Sint Maarten ,11051,92, North America ,12011.96
 Eritrea ,10189,103, Africa ,9892.23
 Niger ,9931,312, Africa ,3183.01
 St. Vincent &amp; Grenadines ,9674,124, North America ,7801.61
 Guinea-Bissau ,9614,177, Africa ,5431.64
 Comoros ,9109,161, Africa ,5657.76
 Antigua and Barbuda ,9106,146, North America ,6236.99
 Liberia ,8090,295, Africa ,2742.37
 Sierra Leone ,7779,126, Africa ,6173.81
 Chad ,7701,194, Africa ,3969.59
 British Virgin Islands ,7392,64, North America ,11550.0
 Cook Islands ,7203,2, Australia/Oceania ,360150.0
 Sao Tome &amp; Principe ,6778,80, Africa ,8472.5
 Turks and Caicos ,6752,40, North America ,16880.0
 Saint Kitts &amp; Nevis ,6607,48, North America ,13764.58
 Palau ,6290,10, Australia/Oceania ,62900.0
 Saint Barthelemy ,5507,6, North America ,91783.33
 Nauru ,5393,1, Australia/Oceania ,539300.0
 Kiribati ,5085,24, Australia/Oceania ,21187.5
 Anguilla ,3904,12, North America ,32533.33
 Wallis &amp; Futuna ,3550,8, Australia/Oceania ,44375.0
 Saint Pierre &amp; Miquelon ,3452,2, North America ,172600.0
 Tuvalu ,2943,1, Australia/Oceania ,294300.0
 Saint Helena ,2166,0, Africa ,0.0
