country,cases,death,region
 United States ," 111,820,082 "," 1,219,487 ", North America 
 India ," 45,035,393 "," 533,570 ", Asia 
 France ," 40,138,560 "," 167,642 ", Europe 
 Germany ," 38,828,995 "," 183,027 ", Europe 
 Brazil ," 38,743,918 "," 711,380 ", South America 
 South Korea ," 34,571,873 "," 35,934 ", Asia 
 Japan (+Diamond Princess) ," 33,804,284 "," 74,707 ", Asia 
 Italy ," 26,723,249 "," 196,487 ", Europe 
 United Kingdom ," 24,910,387 "," 232,112 ", Europe 
 Russia ," 24,124,215 "," 402,756 ", Europe 
 Turkey ," 17,232,066 "," 102,174 ", Asia 
 Spain ," 13,914,811 "," 121,760 ", Europe 
 Australia ," 11,853,144 "," 24,414 ", Australia/Oceania 
 Vietnam ," 11,625,195 "," 43,206 ", Asia 
 Taiwan ," 10,241,523 "," 19,005 ", Asia 
 Argentina ," 10,128,845 "," 130,841 ", South America 
 Netherlands ," 8,635,786 "," 22,992 ", Europe 
 Mexico ," 7,702,809 "," 334,958 ", North America 
 Iran ," 7,627,186 "," 146,811 ", Asia 
 Indonesia ," 6,829,221 "," 162,063 ", Asia 
 Poland ," 6,661,991 "," 120,598 ", Europe 
 Colombia ," 6,400,173 "," 143,200 ", South America 
 Greece ," 6,101,379 "," 37,869 ", Europe 
 Austria ," 6,081,287 "," 22,542 ", Europe 
 Portugal ," 5,643,062 "," 28,126 ", Europe 
 Ukraine ," 5,557,995 "," 112,418 ", Europe 
 Chile ," 5,384,853 "," 64,497 ", South America 
 Malaysia ," 5,278,406 "," 37,348 ", Asia 
 Canada ," 4,946,090 "," 59,034 ", North America 
 Belgium ," 4,861,695 "," 34,376 ", Europe 
 Israel ," 4,841,772 "," 12,707 ", Asia 
 North Korea ," 4,772,813 ", 74 , Asia 
 Thailand ," 4,770,149 "," 34,586 ", Asia 
 Czech Republic (Czechia) ," 4,759,041 "," 43,517 ", Europe 
 Peru ," 4,572,667 "," 222,161 ", South America 
 Switzerland ," 4,453,053 "," 14,452 ", Europe 
 Philippines ," 4,140,383 "," 66,864 ", Asia 
 South Africa ," 4,076,463 "," 102,595 ", Africa 
 Romania ," 3,529,735 "," 68,929 ", Europe 
 Denmark ," 3,183,756 "," 8,814 ", Europe 
 Singapore ," 3,006,155 "," 2,024 ", Asia 
 Hong Kong ," 2,937,609 "," 14,924 ", Asia 
 Sweden ," 2,754,129 "," 27,407 ", Europe 
 New Zealand ," 2,621,111 "," 5,697 ", Australia/Oceania 
 Serbia ," 2,615,054 "," 18,057 ", Europe 
 Iraq ," 2,465,545 "," 25,375 ", Asia 
 Hungary ," 2,230,232 "," 49,048 ", Europe 
 Bangladesh ," 2,049,377 "," 29,493 ", Asia 
 Slovakia ," 1,877,605 "," 21,224 ", Europe 
 Georgia ," 1,861,665 "," 17,132 ", Asia 
 Jordan ," 1,746,997 "," 14,122 ", Asia 
 Ireland ," 1,734,582 "," 9,491 ", Europe 
 Pakistan ," 1,581,936 "," 30,664 ", Asia 
 Finland ," 1,516,117 "," 11,958 ", Europe 
 Norway ," 1,509,732 "," 6,638 ", Europe 
 Kazakhstan ," 1,411,831 "," 13,848 ", Asia 
 Lithuania ," 1,397,806 "," 9,897 ", Europe 
 Slovenia ," 1,356,546 "," 7,100 ", Europe 
 Bulgaria ," 1,339,851 "," 38,748 ", Europe 
 Croatia ," 1,309,728 "," 18,687 ", Europe 
 Guatemala ," 1,291,293 "," 20,289 ", North America 
 Morocco ," 1,278,992 "," 16,303 ", Africa 
 Lebanon ," 1,243,838 "," 10,952 ", Asia 
 Costa Rica ," 1,238,883 "," 9,428 ", North America 
 Bolivia ," 1,212,131 "," 22,407 ", South America 
 Tunisia ," 1,153,361 "," 29,423 ", Africa 
 Cuba ," 1,115,251 "," 8,530 ", North America 
 Ecuador ," 1,070,188 "," 36,043 ", South America 
 United Arab Emirates ," 1,067,030 "," 2,349 ", Asia 
 Panama ," 1,059,893 "," 8,727 ", North America 
 Uruguay ," 1,041,111 "," 7,664 ", South America 
 Mongolia ," 1,011,496 "," 2,284 ", Asia 
 Nepal ," 1,003,450 "," 12,031 ", Asia 
 Belarus ," 994,037 "," 7,118 ", Europe 
 Latvia ," 982,505 "," 6,715 ", Europe 
 Saudi Arabia ," 841,469 "," 9,646 ", Asia 
 Paraguay ," 837,602 "," 20,155 ", South America 
 Azerbaijan ," 835,234 "," 10,400 ", Asia 
 Bahrain ," 729,549 "," 1,574 ", Asia 
 Cyprus ," 681,110 "," 1,365 ", Asia 
 Dominican Republic ," 675,890 "," 4,384 ", North America 
 Sri Lanka ," 672,754 "," 16,897 ", Asia 
 Kuwait ," 667,158 "," 2,570 ", Asia 
 Myanmar ," 641,873 "," 19,495 ", Asia 
 Moldova ," 635,145 "," 12,218 ", Europe 
 Estonia ," 628,070 "," 3,001 ", Europe 
 State of Palestine ," 621,008 "," 5,404 ", Asia 
 Venezuela ," 552,695 "," 5,856 ", South America 
 Egypt ," 516,023 "," 24,613 ", Africa 
 Qatar ," 514,524 ", 690 , Asia 
 Libya ," 507,274 "," 6,437 ", Africa 
 China ," 503,302 "," 5,272 ", Asia 
 Ethiopia ," 501,157 "," 7,574 ", Africa 
 Réunion ," 494,595 ", 921 , Africa 
 Honduras ," 474,590 "," 11,165 ", North America 
 Armenia ," 451,831 "," 8,777 ", Asia 
 Bosnia and Herzegovina ," 403,615 "," 16,388 ", Europe 
 Oman ," 399,449 "," 4,628 ", Asia 
 Luxembourg ," 391,232 "," 1,232 ", Europe 
 North Macedonia ," 350,567 "," 9,976 ", Europe 
